
fruit = apple
layer = 5_point
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(94.3333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(96., device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(96., device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(96., device='cuda:1')
test accuracy = tensor(99.1667, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(96., device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
fruit = muskmelon
layer = 5_point
test accuracy = tensor(85.8333, device='cuda:1')
test accuracy = tensor(71.6667, device='cuda:1')
test accuracy = tensor(89.1667, device='cuda:1')
test accuracy = tensor(59.3333, device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(92.6667, device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(92.1667, device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(91.5000, device='cuda:1')
test accuracy = tensor(90.6667, device='cuda:1')
test accuracy = tensor(92.8333, device='cuda:1')
test accuracy = tensor(86.8333, device='cuda:1')
test accuracy = tensor(90.8333, device='cuda:1')
test accuracy = tensor(87.6667, device='cuda:1')
test accuracy = tensor(88.5000, device='cuda:1')
test accuracy = tensor(86.8333, device='cuda:1')
test accuracy = tensor(82.1667, device='cuda:1')
test accuracy = tensor(81., device='cuda:1')
test accuracy = tensor(81.8333, device='cuda:1')
test accuracy = tensor(78.3333, device='cuda:1')
test accuracy = tensor(79.1667, device='cuda:1')
test accuracy = tensor(78.6667, device='cuda:1')
test accuracy = tensor(79.8333, device='cuda:1')
test accuracy = tensor(78.8333, device='cuda:1')
test accuracy = tensor(77.8333, device='cuda:1')
test accuracy = tensor(78.3333, device='cuda:1')
test accuracy = tensor(78.8333, device='cuda:1')
test accuracy = tensor(78.3333, device='cuda:1')
test accuracy = tensor(79.3333, device='cuda:1')
test accuracy = tensor(81., device='cuda:1')
test accuracy = tensor(78.8333, device='cuda:1')
test accuracy = tensor(78.1667, device='cuda:1')
test accuracy = tensor(78.6667, device='cuda:1')
test accuracy = tensor(78.5000, device='cuda:1')
test accuracy = tensor(77.8333, device='cuda:1')
test accuracy = tensor(77.6667, device='cuda:1')
test accuracy = tensor(78., device='cuda:1')
test accuracy = tensor(78.5000, device='cuda:1')
test accuracy = tensor(79., device='cuda:1')
test accuracy = tensor(78.3333, device='cuda:1')
test accuracy = tensor(78.1667, device='cuda:1')
test accuracy = tensor(80.8333, device='cuda:1')
test accuracy = tensor(79., device='cuda:1')
test accuracy = tensor(78.1667, device='cuda:1')
test accuracy = tensor(80.3333, device='cuda:1')
test accuracy = tensor(78.5000, device='cuda:1')
test accuracy = tensor(78.8333, device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(78.8333, device='cuda:1')
test accuracy = tensor(77.8333, device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(78., device='cuda:1')
test accuracy = tensor(78.8333, device='cuda:1')
test accuracy = tensor(78.1667, device='cuda:1')
test accuracy = tensor(78.6667, device='cuda:1')
test accuracy = tensor(77.8333, device='cuda:1')
test accuracy = tensor(79.1667, device='cuda:1')
test accuracy = tensor(78., device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(79.3333, device='cuda:1')
test accuracy = tensor(78.5000, device='cuda:1')
test accuracy = tensor(78., device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(79.5000, device='cuda:1')
test accuracy = tensor(80., device='cuda:1')
test accuracy = tensor(78.8333, device='cuda:1')
test accuracy = tensor(79.5000, device='cuda:1')
test accuracy = tensor(79.3333, device='cuda:1')
test accuracy = tensor(78.3333, device='cuda:1')
test accuracy = tensor(79.5000, device='cuda:1')
test accuracy = tensor(79.1667, device='cuda:1')
test accuracy = tensor(79.8333, device='cuda:1')
test accuracy = tensor(78.8333, device='cuda:1')
test accuracy = tensor(78.8333, device='cuda:1')
test accuracy = tensor(78.6667, device='cuda:1')
test accuracy = tensor(78.1667, device='cuda:1')
test accuracy = tensor(78., device='cuda:1')
test accuracy = tensor(77.6667, device='cuda:1')
test accuracy = tensor(78.8333, device='cuda:1')
test accuracy = tensor(78.5000, device='cuda:1')
test accuracy = tensor(77.6667, device='cuda:1')
test accuracy = tensor(79., device='cuda:1')
test accuracy = tensor(78.6667, device='cuda:1')
test accuracy = tensor(79.5000, device='cuda:1')
test accuracy = tensor(78., device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(79.8333, device='cuda:1')
test accuracy = tensor(78.8333, device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(79.3333, device='cuda:1')
test accuracy = tensor(79.1667, device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(80.1667, device='cuda:1')
test accuracy = tensor(79., device='cuda:1')
fruit = peach
layer = 5_point
test accuracy = tensor(60.8333, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(51.5000, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(94.3333, device='cuda:1')
test accuracy = tensor(99.6667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(88., device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
